size,hashtag,RL,ad_recog,brand,purch_intent,eWOM,purchase
s,low,l,6.67,4.00,3.92,4.22,4.00
s,low,r,6,4.33,4.75,4.78,5.67
s,high,l,5.67,4.33,4.25,4.33,4.67
s,high,r,5.67,4.33,4.33,4.78,5.33
b,low,l,6.33,4.00,3.50,3.89,3.67
b,low,r,6,4.67,4.75,4.89,5.00
b,high,l,6,4.33,4.00,4.22,4.33
b,high,r,6,5.00,5.00,5.33,5.50
s,low,l,5.67,4.33,4.33,4.33,4.33
s,low,r,6.67,6.33,6.33,6.33,6.33
s,high,l,6,5.00,5.17,5.11,5.33
s,high,r,5.33,5.00,5.00,5.00,5.00
b,low,l,6.33,5.67,5.67,5.67,5.67
b,low,r,6.33,6.33,6.00,6.00,6.00
b,high,l,6,5.67,5.67,5.67,5.67
b,high,r,7,5.50,5.50,5.33,5.50
s,low,l,5,4,4.33,4.33,4.33
s,low,r,4.67,4.33,4.33,4.43,4.33
s,high,l,5,5,5.33,5,5.33
s,high,r,5,5,5.33,5,5.33
b,low,l,5.67,4,3.92,3.78,3.33
b,low,r,4.33,5,4.67,4.78,4.33
b,high,l,5.33,4.67,4.92,4.67,5
b,high,r,5,5,3.5,5,3
s,low,l,6.33,5.00,4.83,2.11,4.33
s,low,r,6.67,5.00,4.58,2.67,5.00
s,high,l,6.33,4.00,4.08,1.78,4.00
s,high,r,6.33,6.33,6.33,1.94,6.67
b,low,l,6.33,3.33,2.67,1.33,2.33
b,low,r,6.67,4.67,4.25,2.56,4.33
b,high,l,7,5.33,5.00,2.55,5.67
b,high,r,6.5,6.00,6.00,3.17,6.50
s,low,l,2,4.00,2.83,3.11,3.67
s,low,r,5.33,4.33,4.67,4.22,4.67
s,high,l,4.67,3.67,3.33,3.44,3.00
s,high,r,5.67,4.33,4.25,3.44,4.67
b,low,l,5,4.33,3.92,4.44,4.33
b,low,r,6,5.00,4.50,3.97,5.33
b,high,l,6.67,4.00,2.92,3.78,3.33
b,high,r,6.5,4.50,3.75,3.50,4.50
s,low,l,5.67,4.33,4.25,3.33,4.00
s,low,r,6.33,4.33,4.08,3.78,3.67
s,high,l,7,4.00,4.17,3.67,3.00
s,high,r,6.67,4.00,4.42,4.11,3.67
b,low,l,6.33,4.00,3.67,2.78,2.00
b,low,r,6,4.33,3.42,2.44,2.00
b,high,l,7,4.67,5.50,5.44,6.33
b,high,r,7,4.50,4.50,4.00,4.50
s,low,l,4.33,4.00,3.92,2.89,4.33
s,low,r,4.67,4.67,4.67,3.78,4.67
s,high,l,3,4.67,4.92,3.78,5.33
s,high,r,4.33,4.00,4.67,3.44,4.67
b,low,l,5.67,4.67,4.42,3.67,5.00
b,low,r,5,3.67,4.17,3.22,4.67
b,high,l,3.33,4.33,4.42,4.00,5.00
b,high,r,4,4.00,4.50,3.67,4.00
s,low,l,5.67,4.33,4.25,3.44,5.00
s,low,r,5,5.67,5.75,5.11,6.00
s,high,l,5.33,3.67,4.08,3.44,3.33
s,high,r,5,3.00,3.58,2.78,4.00
b,low,l,6.5,4.50,4.50,3.50,5.00
b,low,r,4.67,3.67,3.00,2.22,4.00
b,high,l,2.67,6.00,6.58,5.56,6.67
b,high,r,2.5,6.00,5.88,5.00,6.00
s,low,l,4.67,3.33,1.83,1.56,1.33
s,low,r,5.33,4.67,4.08,5.00,5.00
s,high,l,6.67,3.33,3.00,2.00,1.67
s,high,r,5.33,4.00,4.00,3.22,4.00
b,low,l,5.67,3.67,4.50,3.33,3.67
b,low,r,5.67,4.67,4.08,4.11,3.67
b,high,l,6,3.33,3.08,2.78,2.67
b,high,r,5.5,4.50,5.25,4.50,5.00
s,low,l,5.33,6.33,4.75,6.00,6.00
s,low,r,5,5.67,4.92,5.89,5.33
s,high,l,6,6.00,5.92,5.89,6.00
s,high,r,6.67,7.00,6.58,6.78,6.33
b,low,l,7,6.67,6.58,6.78,6.67
b,low,r,6.33,6.00,6.00,6.00,6.00
b,high,l,6.67,7.00,6.75,6.89,6.67
b,high,r,6.5,7.00,6.88,7.00,7.00
s,low,l,5.5,5.50,5.00,2.83,6.00
s,low,r,5,6.00,5.75,2.67,2.00
s,high,l,3.5,3.50,4.38,1.83,3.50
s,high,r,5.33,5.67,5.50,2.56,4.00
b,low,l,4.33,5.33,4.92,2.11,3.67
b,low,r,3.33,4.67,4.83,2.00,5.33
b,high,l,5,5.67,5.83,2.56,4.33
b,high,r,4,6.00,5.38,2.83,6.50
s,low,l,4.33,4.00,3.50,3.00,3.67
s,low,r,6,4.00,4.33,3.56,4.67
s,high,l,5.67,4.00,4.17,3.44,4.00
s,high,r,5.67,4.00,4.33,3.56,5.00
b,low,l,5.33,4.00,4.17,3.44,4.67
b,low,r,5.67,4.00,4.42,3.78,5.00
b,high,l,6,4.00,4.00,3.56,4.33
b,high,r,5.5,4.00,4.50,4.00,5.00