size,hashtag,RL,trial count,total_fix_dur_avr,total fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,total fixation duration,total fixation count,fix.dur account,"fix.count account ",fix.dur logo,fix.count logo,fix.dur picture,fix.count picture,fix.dur text,"fix.dur text average","fix.count text average",fix.count text,"sac.amplitude trial average"
s,low,l,1.00,8637.84,36.00,197.00,1.00,0.00,0.00,2116.00,8.00,8637.84,36.00,197.00,1.00,0.00,0.00,2116.00,8.00,6325.00,6325.00,27.00,27.00,3.42
s,low,r,2.00,8520.55,35.00,368.50,1.00,103.00,0.50,3238.50,11.50,17041.10,70.00,737.00,2.00,206.00,1.00,6477.00,23.00,9338.00,4669.00,21.50,43.00,4.33
s,high,l,1.00,8655.04,37.00,0.00,0.00,0.00,0.00,4654.00,17.00,8655.04,37.00,0.00,0.00,0.00,0.00,4654.00,17.00,4001.00,4001.00,20.00,20.00,3.99
s,high,r,3.00,8771.95,36.00,287.67,1.33,198.00,1.00,2268.33,8.67,26315.85,108.00,863.00,4.00,594.00,3.00,6805.00,26.00,18054.00,6018.00,25.00,75.00,3.92
b,low,l,2.00,7707.52,30.50,315.00,1.50,403.00,1.50,3116.50,11.50,15415.04,61.00,630.00,3.00,806.00,3.00,6233.00,23.00,7746.00,3873.00,16.00,32.00,4.91
b,low,r,1.00,8605.86,38.00,267.00,1.00,0.00,0.00,2631.00,9.00,8605.86,38.00,267.00,1.00,0.00,0.00,2631.00,9.00,5708.00,5708.00,28.00,28.00,4.19
b,high,l,2.00,8424.48,33.00,300.50,1.50,593.00,3.50,2987.00,8.00,16848.96,66.00,601.00,3.00,1186.00,7.00,5974.00,16.00,8684.00,4342.00,19.00,38.00,3.43
b,high,r,1.00,8534.16,36.00,136.00,1.00,245.00,2.00,2263.00,9.00,8534.16,36.00,136.00,1.00,245.00,2.00,2263.00,9.00,5890.00,5890.00,24.00,24.00,5.05
s,low,l,3.00,6484.32,27.33,40.00,0.33,0.00,0.00,4010.67,17.67,19452.95,82.00,120.00,1.00,0.00,0.00,12032.00,53.00,7186.00,2395.33,9.00,27.00,3.78
s,low,r,3.00,5603.70,26.00,0.00,0.00,592.67,1.67,2595.33,12.67,16811.10,78.00,0.00,0.00,1778.00,5.00,7786.00,38.00,6897.00,2299.00,11.33,34.00,3.51
s,high,l,3.00,7135.29,30.00,208.33,1.00,0.00,0.00,4375.67,17.00,21405.86,90.00,625.00,3.00,0.00,0.00,13127.00,51.00,7654.00,2551.33,12.00,36.00,3.18
s,high,r,2.00,6763.91,31.00,0.00,0.00,318.50,1.50,4532.50,20.00,13527.82,62.00,0.00,0.00,637.00,3.00,9065.00,40.00,3826.00,1913.00,9.50,19.00,3.05
b,low,l,2.00,7130.97,33.00,0.00,0.00,2412.00,12.50,3487.50,14.50,14261.94,66.00,0.00,0.00,4824.00,25.00,6975.00,29.00,2463.00,1231.50,6.00,12.00,3.38
b,low,r,3.00,6650.40,32.33,0.00,0.00,1069.33,5.67,2980.33,13.33,19951.19,97.00,0.00,0.00,3208.00,17.00,8941.00,40.00,7717.00,2572.33,13.00,39.00,3.92
b,high,l,3.00,7438.01,29.33,0.00,0.00,2236.67,10.00,3856.33,12.67,22314.04,88.00,0.00,0.00,6710.00,30.00,11569.00,38.00,4035.00,1345.00,6.00,18.00,3.23
b,high,r,2.00,7189.00,35.00,252.00,1.00,663.00,3.50,3617.50,16.50,14378.00,70.00,504.00,2.00,1326.00,7.00,7235.00,33.00,5313.00,2656.50,14.00,28.00,3.61
s,low,l,3.00,7639.63,32.67,0.00,0.00,0.00,0.00,4345.33,16.00,22918.90,98.00,0.00,0.00,0.00,0.00,13036.00,48.00,9423.00,3141.00,16.00,48.00,4.39
s,low,r,3.00,7781.60,31.33,0.00,0.00,0.00,0.00,3622.67,13.33,23344.81,94.00,0.00,0.00,0.00,0.00,10868.00,40.00,11245.00,3748.33,16.33,49.00,3.88
s,high,l,3.00,8306.67,33.00,0.00,0.00,0.00,0.00,3098.67,12.33,24920.00,99.00,0.00,0.00,0.00,0.00,9296.00,37.00,14869.00,4956.33,20.00,60.00,3.19
s,high,r,2.00,6513.50,26.00,0.00,0.00,0.00,0.00,2288.00,9.50,13026.99,52.00,0.00,0.00,0.00,0.00,4576.00,19.00,7552.00,3776.00,15.00,30.00,4.49
b,low,l,2.00,7858.54,35.00,84.50,0.50,0.00,0.00,2543.00,11.00,15717.07,70.00,169.00,1.00,0.00,0.00,5086.00,22.00,9347.00,4673.50,22.00,44.00,3.79
b,low,r,3.00,7544.70,30.67,0.00,0.00,600.00,2.67,2135.67,7.33,22634.10,92.00,0.00,0.00,1800.00,8.00,6407.00,22.00,12652.00,4217.33,18.33,55.00,4.02
b,high,l,1.00,7963.89,33.00,0.00,0.00,110.00,1.00,2250.00,9.00,7963.89,33.00,0.00,0.00,110.00,1.00,2250.00,9.00,3829.00,3829.00,16.00,16.00,4.24
b,high,r,2.00,7880.11,35.00,0.00,0.00,112.00,0.50,1596.50,5.50,15760.21,70.00,0.00,0.00,224.00,1.00,3193.00,11.00,12343.00,6171.50,29.00,58.00,3.42
s,low,l,2.00,8566.93,39.00,0.00,0.00,70.00,0.50,4094.50,15.00,17133.86,78.00,0.00,0.00,140.00,1.00,8189.00,30.00,9377.00,4688.50,23.50,47.00,3.21
s,low,r,3.00,8276.70,31.00,146.67,0.67,0.00,0.00,4349.33,13.67,24830.09,93.00,440.00,2.00,0.00,0.00,13048.00,41.00,11342.00,3780.67,16.67,50.00,3.79
s,high,l,2.00,8623.10,34.50,0.00,0.00,0.00,0.00,3705.50,13.50,17246.19,69.00,0.00,0.00,0.00,0.00,7411.00,27.00,7973.00,3986.50,16.50,33.00,3.81
s,high,r,2.00,8429.04,33.50,0.00,0.00,0.00,0.00,3114.00,9.50,16858.08,67,0.00,0.00,0.00,0.00,6228.00,19.00,10630.00,5315.00,24.00,48.00,3.80
b,low,r,2.00,8654.03,35.50,149.00,0.50,916.50,4.00,3910.00,13.00,17308.05,71.00,298.00,1.00,1833.00,8.00,7820.00,26.00,6161.00,3080.50,15.50,31.00,4.88
b,high,l,2.00,8314.46,35.00,141.00,0.50,104.50,0.50,2802.00,11.50,16628.92,70.00,282.00,1.00,209.00,1.00,5604.00,23.00,9929.00,4964.50,21.00,42.00,3.40
b,high,r,2.00,8252.48,32.50,0.00,0.00,252.00,0.50,2513.50,9.00,16504.95,65.00,0.00,0.00,504.00,1.00,5027.00,18.00,10357.00,5178.50,22.00,44.00,2.96
s,low,l,3.00,8379.82,38.33,282.00,1.67,0.00,0.00,2012.00,9.67,25139.45,115.00,846.00,5.00,0.00,0.00,6036.00,29.00,17987.00,5995.67,27.00,81.00,3.78
s,low,r,3.00,8703.67,34.67,0.00,0.00,0.00,0.00,499.33,1.67,26111.00,104.00,0.00,0.00,0.00,0.00,1498.00,5.00,24440.00,8146.67,32.67,98.00,2.09
s,high,l,3.00,8539.64,34.67,33.67,0.33,0.00,0.00,1113.00,4.33,25618.92,104.00,101.00,1.00,0.00,0.00,3339.00,13.00,22236.00,7412.00,29.67,89.00,2.76
s,high,r,3.00,8761.34,37.00,161.33,0.67,102.67,0.33,1445.33,6.33,26284.01,111.00,484.00,2.00,308.00,1.00,4336.00,19.00,20808.00,6936.00,29.33,88.00,2.99
b,low,l,3.00,8747.01,36.00,292.33,1.33,293.00,1.33,1027.33,4.67,26241.02,108.00,877.00,4.00,879.00,4.00,3082.00,14.00,21403.00,7134.33,28.67,86.00,2.90
b,low,r,3.00,8452.74,36.33,66.67,0.33,95.33,0.67,471.67,1.67,25358.21,109.00,200.00,1.00,286.00,2.00,1415.00,5.00,23189.00,7729.67,33.33,100.00,2.70
b,high,l,3.00,8453.01,35.00,0.00,0.00,0.00,0.00,693.00,2.67,25359.03,105.00,0.00,0.00,0.00,0.00,2079.00,8.00,23280.00,7760.00,32.33,97.00,2.50
b,high,r,2.00,8371.62,38.00,0.00,0.00,280.50,1.50,685.50,3.00,16743.23,76.00,0.00,0.00,561.00,3.00,1371.00,6.00,14811.00,7405.50,33.50,67.00,2.88
s,low,l,2.00,7324.94,35.00,0.00,0.00,0.00,0.00,1882.50,8.50,14649.88,70.00,0.00,0.00,0.00,0.00,3765.00,17.00,10652.00,5326.00,26.00,52.00,4.75
s,low,r,1.00,7056.06,33.00,405.00,1.00,0.00,0.00,1871.00,9.00,7056.06,33.00,405.00,1.00,0.00,0.00,1871.00,9.00,4622.00,4622.00,22.00,22.00,5.97
s,high,l,2.00,7911.54,34.50,0.00,0.00,0.00,0.00,1529.50,6.00,15823.08,69.00,0.00,0.00,0.00,0.00,3059.00,12.00,11333.00,5666.50,26.50,53.00,4.78
b,low,r,1.00,7865.09,37.00,0.00,0.00,0.00,0.00,2011.00,8.00,7865.09,37.00,0.00,0.00,0.00,0.00,2011.00,8.00,5854.00,5854.00,29.00,29.00,4.37
b,high,l,1.00,7347.06,34.00,0.00,0.00,0.00,0.00,1930.00,8.00,7347.06,34.00,0.00,0.00,0.00,0.00,1930.00,8.00,5417.00,5417.00,26.00,26.00,4.67
b,high,r,1.00,7344.00,36.00,164.00,1.00,181.00,1.00,4096.00,20.00,7344.00,36.00,164.00,1.00,181.00,1.00,4096.00,20.00,2903.00,2903.00,14.00,14.00,6.68
s,low,l,3.00,8903.30,38.33,118.67,0.67,0.00,0.00,2348.33,10.33,26709.90,115.00,356.00,2.00,0.00,0.00,7045.00,31.00,19039.00,6346.33,27.33,82.00,2.72
s,low,r,3.00,8977.06,33.33,263.33,0.33,0.00,0.00,2191.33,8.33,26931.19,100.00,790.00,1.00,0.00,0.00,6574.00,25.00,19333.00,6444.33,24.33,73.00,3.07
s,high,l,3.00,9093.39,35.33,30.67,0.33,0.00,0.00,747.67,3.67,27280.18,106.00,92.00,1.00,0.00,0.00,2243.00,11.00,24945.00,8315.00,31.33,94.00,2.07
s,high,r,3.00,8861.78,36.67,0.00,0.00,153.67,0.67,1728.33,6.00,26585.34,110.00,0.00,0.00,461.00,2.00,5185.00,18.00,20939.00,6979.67,30.00,90.00,2.98
b,low,l,3.00,8955.05,37.00,0.00,0.00,228.00,1.67,1514.67,4.33,26865.15,111.00,0.00,0.00,684.00,5.00,4544.00,13.00,21637.00,7212.33,31.00,93.00,2.80
b,low,r,3.00,8966.06,33.67,80.33,0.33,245.67,0.67,3553.67,11.67,26898.19,101.00,241.00,1.00,737.00,2.00,10661.00,35.00,15259.00,5086.33,21.33,64.00,3.23
b,high,l,3.00,8817.65,35.00,151.67,0.33,593.00,3.00,1185.67,4.33,26452.94,105.00,455.00,1.00,1779.00,9.00,3557.00,13.00,20662.00,6887.33,27.33,82.00,2.85
b,high,r,2.00,9004.38,38.50,388.00,2.00,0.00,0.00,1062.50,3.50,18008.76,77.00,776.00,4.00,0.00,0.00,2125.00,7.00,14979.00,7489.50,32.50,65.00,2.92
s,low,l,3.00,7380.89,34.33,280.00,1.33,0.00,0.00,4381.00,20.00,22142.67,103.00,840.00,4.00,0.00,0.00,13143.00,60.00,7733.00,2577.67,12.00,36.00,4.61
s,low,r,2.00,7939.87,32.50,0.00,0.00,0.00,0.00,2203.00,9.50,15879.74,65.00,0.00,0.00,0.00,0.00,4406.00,19.00,11474.00,5737.00,23.00,46.00,3.79
s,high,l,3.00,7592.12,29.33,270.00,1.33,0.00,0.00,3998.33,16.67,22776.35,88.00,810.00,4.00,0.00,0.00,11995.00,50.00,9971.00,3323.67,11.33,34.00,2.63
s,high,r,3.00,7355.03,31.00,35.67,0.33,0.00,0.00,2274.00,10.00,22065.10,93.00,107.00,1.00,0.00,0.00,6822.00,30.00,14927.00,4975.67,20.33,61.00,3.72
b,low,l,1.00,8712.02,37.00,0.00,0.00,0.00,0.00,659.00,3.00,8712.02,37.00,0.00,0.00,0.00,0.00,659.00,3.00,8053.00,8053.00,34.00,34.00,3.08
b,low,r,3.00,7653.74,33.00,48.00,0.33,482.67,2.33,2889.67,11.00,22961.23,99.00,144.00,1.00,1448.00,7.00,8669.00,33.00,12540.00,4180.00,18.67,56.00,4.17
b,high,l,2.00,8531.86,35.00,199.00,1.00,2522.50,11.50,1943.50,7.50,17063.72,70.00,398.00,2.00,5045.00,23.00,3887.00,15.00,7617.00,3808.50,15.00,30.00,3.27
b,high,r,2.00,8734.36,32.00,116.50,0.50,0.00,0.00,1706.50,6.00,17468.71,64.00,233.00,1.00,0.00,0.00,3413.00,12.00,13823.00,6911.50,25.50,51.00,3.24
s,low,l,3.00,8495.30,34.67,239.33,1.00,0.00,0.00,3130.33,11.00,25485.91,104.00,718.00,3.00,0.00,0.00,9391.00,33.00,15161.00,5053.67,22.33,67.00,3.36
s,low,r,3.00,8623.68,34.33,60.33,0.33,495.67,1.33,2651.67,10.67,25871.05,103.00,181.00,1.00,1487.00,4.00,7955.00,32.00,16248.00,5416.00,22.00,66.00,3.01
s,high,l,3.00,8875.70,33.67,0.00,0.00,0.00,0.00,1682.00,7.67,26627.09,101.00,0.00,0.00,0.00,0.00,5046.00,23.00,21429.00,7143.00,25.67,77.00,2.16
s,high,r,3.00,8632.36,37.00,355.67,1.00,0.00,0.00,2558.67,11.67,25897.08,111.00,1067.00,3.00,0.00,0.00,7676.00,35.00,16825.00,5608.33,24.00,72.00,2.64
b,low,l,3.00,8487.69,33.67,94.67,0.33,0.00,0.00,4655.00,17.67,25463.08,101.00,284.00,1.00,0.00,0.00,13965.00,53.00,10943.00,3647.67,15.33,46.00,3.25
b,low,r,3.00,8422.40,34.67,123.67,0.67,522.33,2.00,3523.33,13.00,25267.21,104.00,371.00,2.00,1567.00,6.00,10570.00,39.00,12297.00,4099.00,18.33,55.00,3.49
b,high,l,3.00,8703.90,32.67,0.00,0.00,0.00,0.00,3504.00,11.33,26111.69,98.00,0.00,0.00,0.00,0.00,10512.00,34.00,15230.00,5076.67,20.67,62.00,2.85
b,high,r,2.00,8757.90,36.00,306.00,1.00,0.00,0.00,2630.50,12.00,17515.80,72.00,612.00,2.00,0.00,0.00,5261.00,24.00,11467.00,5733.50,22.50,45.00,2.77
s,low,l,3.00,8485.33,31.67,0.00,0.00,0.00,0.00,3443.00,11.00,25455.99,95.00,0.00,0.00,0.00,0.00,10329.00,33.00,15127.00,5042.33,25.67,77.00,3.93
s,low,r,3.00,8637.26,28.67,0.00,0.00,0.00,0.00,4422.67,11.67,25911.79,86.00,0.00,0.00,0.00,0.00,13268.00,35.00,12093.00,4031.00,16.00,48.00,4.13
s,high,l,3.00,7278.70,29.33,0.00,0.00,217.00,0.33,3819.67,11.00,21836.09,88.00,0.00,0.00,651.00,1.00,11459.00,33.00,14697.00,4899.00,18.00,54.00,2.73
s,high,r,3.00,8703.73,32.00,61.33,0.33,0.00,0.00,3864.00,12.67,26111.19,96.00,184.00,1.00,0.00,0.00,11592.00,38.00,14335.00,4778.33,19.00,57.00,3.73
b,low,l,3.00,8698.42,32.33,0.00,0.00,388.00,1.33,3991.67,12.67,26095.25,97.00,0.00,0.00,1164.00,4.00,11975.00,38.00,12956.00,4318.67,18.33,55.00,3.30
b,low,r,3.00,8683.01,32.67,0.00,0.00,241.00,1.00,3550.67,11.00,26049.03,98.00,0.00,0.00,723.00,3.00,10652.00,33.00,14674.00,4891.33,20.67,62.00,3.70
b,high,l,3.00,8769.58,32.00,0.00,0.00,0.00,0.00,3735.00,11.00,26308.74,96.00,0.00,0.00,0.00,0.00,11205.00,33.00,15104.00,5034.67,21.00,63.00,2.76
b,high,r,3.00,6039.03,18.33,0.00,0.00,894.00,2.33,2026.33,6.00,18117.10,55.00,0.00,0.00,2682.00,7.00,6079.00,18.00,9356.00,3118.67,10.00,30.00,2.80