MAXIMIZER,,,,,,,,,
ad recognition,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,12,5.639167,1.381767,0.398882,4.8,57358,6.420975
   ,,  low      ,12,5.874167,0.742238,0.214266,5.4,54206,6.294127
   ,r,  high     ,12,5.5,1.398051,0.403582,4.7,8978,6.291022
   ,,  low      ,12,5.5,0.980315,0.282993,4.9,45334,6.054666
s  ,l,  high     ,12,5.403333,1.204962,0.347843,4.7,21562,6.085105
   ,,  low      ,12,5.0975,1.211912,0.349849,4.4,11797,5.783203
   ,r,  high     ,12,5.583333,0.699719,0.201991,5.1,87430,5.979236
   ,,  low      ,12,5.555833,0.743144,0.214527,5.1,35360,5.976307
,,,,,,,,,
brand attitude,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,12,4.916667,1.036948,0.299341,4.3,29958,5.503375
   ,,  low      ,12,4.514167,0.947719,0.273583,3.9,77944,5.050389
   ,r,  high     ,12,5.166667,0.937437,0.270615,4.6,36262,5.697072
   ,,  low      ,12,4.723333,0.813112,0.234725,4.2,63272,5.183395
s  ,l,  high     ,12,4.264167,0.77677,0.224234,3.8,24668,4.703666
   ,,  low      ,12,4.429167,0.811524,0.234267,3.9,70003,4.88833
   ,r,  high     ,12,4.721667,1.13562,0.327825,4,79129,5.364204
   ,,  low      ,12,4.944167,0.777098,0.224329,4.5,4482,5.383851
,,,,,,,,,
purchase intention,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,12,4.889167,1.248814,0.360501,4.1,82584,5.59575
   ,,  low      ,12,4.37,1.022244,0.295096,3.7,91611,4.948389
   ,r,  high     ,12,5.053333,0.96738,0.279259,4.5,5987,5.60068
   ,,  low      ,12,4.5075,0.877508,0.253315,4,11003,5.003997
s  ,l,  high     ,12,4.4,0.824456,0.238,3.9,33520,4.86648
   ,,  low      ,12,3.978333,0.900967,0.260087,3.4,68563,4.488104
   ,r,  high     ,12,4.86,0.92003,0.26559,4.3,39444,5.380556
   ,,  low      ,12,4.853333,0.719183,0.20761,4.4,46417,5.260249
,,,,,,,,,
intention to spread eWOM,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,12,4.306667,1.379178,0.398135,3.5,26323,5.08701
   ,,  low      ,12,3.726667,1.451822,0.419105,2.9,5221,4.548112
   ,r,  high     ,12,4.444167,1.16139,0.335264,3.7,87048,5.101285
   ,,  low      ,12,3.830833,1.394877,0.402666,3,41608,4.620059
s  ,l,  high     ,12,3.6425,1.318223,0.380538,2.8,96645,4.388355
   ,,  low      ,12,3.429167,1.169199,0.337519,2.7,67630,4.090703
   ,r,  high     ,12,3.884167,1.328796,0.38359,3.1,32329,4.636004
   ,,  low      ,12,4.351667,1.144908,0.330507,3.7,3874,4.99946
,,,,,,,,,
,,,,,,,,,
intention to purchase,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,12,5,1.272399,0.36731,4.2,80072,5.719928
   ,,  low      ,12,4.1675,1.338365,0.386353,3.4,10249,4.924751
   ,r,  high     ,12,5.25,1.157976,0.334279,4.5,94813,5.905187
   ,,  low      ,12,4.638333,1.104691,0.318897,4,13296,5.263371
s  ,l,  high     ,12,4.096667,1.271051,0.366921,3.3,77502,4.815831
   ,,  low      ,12,4.249167,1.20745,0.348561,3.5,65987,4.932346
   ,r,  high     ,12,4.889167,0.934923,0.269889,4.3,60184,5.418149
   ,,  low      ,12,4.778333,1.13944,0.328928,4.1,33634,5.423032
,,,,,,,,,
SATICEFICER,,,,,,,,,
ad recognition,,,,,,,,,
   ,,              , N ,   Mean    ,    SD  ,      SE  95,% Co,nf.  In,terval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,      
b  ,l,  high     ,10, 5.7500  1.,18866,0.322194   5,0.118,500  6.,381500
   ,,  low      ,8, 6.2925  1.,26321,0.362859   5,0.581,296  7.,3704
   ,r,  high     ,10, 6.2000  1.,5540,0.317980   5,0.576,760  6.,823240
   ,,  low      ,10, 5.3830  0.,982492,0.310691   4,0.774,045  5.,991955
s  ,l,  high     ,10, 5.5830  0.,964688,0.305061   4,0.985,080  6.,180920
   ,,  low      ,10, 6.0010  0.,981308,0.310317   5,0.392,779  6.,609221
   ,r,  high     ,9, 6.0000  0.,624059,0.208020   5,0.592,281  6.,407719
   ,,  low      ,10, 5.7500  0.,940355,0.297366   5,0.167,162  6.,332838
,,,,,,,,,
brand attitude,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,10,4.649,1.163553,0.367948,3.9,27823,5.370177
   ,,  low      ,8,4.875,0.508583,0.179811,4.5,22570,5.22743
   ,r,  high     ,10,4.65,0.668747,0.211476,4.2,35506,5.064494
   ,,  low      ,10,4.534,0.52724,0.166728,4.2,7213,4.860787
s  ,l,  high     ,10,4.133,0.525971,0.166327,3.8,7000,4.459
   ,,  low      ,10,4.383,0.769387,0.243302,3.9,6129,4.859871
   ,r,  high     ,9,4.518889,1.237108,0.412369,3.7,10645,5.327133
   ,,  low      ,10,4.467,0.819458,0.259136,3.9,59094,4.974906
,,,,,,,,,
purchase intention,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,10,4.61,1.380845,0.436662,3.7,54143,5.465857
   ,,  low      ,8,4.9125,0.658174,0.2327,4.4,56409,5.368591
   ,r,  high     ,10,4.68,0.912372,0.288517,4.1,14506,5.245494
   ,,  low      ,10,4.6,0.761825,0.24091,4.1,27816,5.072184
s  ,l,  high     ,10,3.959,1.017857,0.321875,3.3,28126,4.589874
   ,,  low      ,10,3.997,1.163682,0.367989,3.2,75742,4.718258
   ,r,  high     ,9,4.397778,1.247255,0.415752,3.5,82905,5.212651
   ,,  low      ,10,4.445,1.010349,0.3195,3.8,18779,5.071221
,,,,,,,,,
,,,,,,,,,
intention to spread eWOM,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,10,4.295,1.18738,0.375483,3.5,59054,5.030946
   ,,  low      ,8,4.38875,1.131982,0.400216,3.6,4326,5.173174
   ,r,  high     ,10,4.2,0.894775,0.282953,3.6,45413,4.754587
   ,,  low      ,10,4.116,0.600189,0.189796,3.7,43999,4.488001
s  ,l,  high     ,10,3.613,0.819743,0.259226,3.1,4918,4.121082
   ,,  low      ,10,3.868,0.977955,0.309256,3.2,61857,4.474143
   ,r,  high     ,9,4.303333,1.027838,0.342613,3.6,31813,4.974854
   ,,  low      ,10,4.023,1.051993,0.33267,3.3,70968,4.675032
,,,,,,,,,
,,,,,,,,,
intention to purchase,,,,,,,,,
   ,,              , N ,     Mean  ,      SD,        SE  ,95%,Conf.  ,Interval
size,RL,hashtag  ,   ,           ,        ,            ,    ,       ,        
b  ,l,  high     ,10,4.517,1.74743,0.552586,3.4,33932,5.600068
   ,,  low      ,8,5.04,0.86708,0.306559,4.4,39144,5.640856
   ,r,  high     ,10,4.6,0.906765,0.286744,4,37981,5.162019
   ,,  low      ,10,4.933,0.843538,0.26675,4.4,10170,5.45583
s  ,l,  high     ,10,3.9,0.990825,0.313326,3.2,85881,4.514119
   ,,  low      ,10,4.033,1.231792,0.389527,3.2,69527,4.796473
   ,r,  high     ,9,4.554444,1.372043,0.457348,3.6,58043,5.450846
   ,,  low      ,10,4.366,1.418765,0.448653,3.4,86641,5.245359