size,hashtag,RL,ad recognition,brand,"purchaseâ€¨intent",eWOM,purchase
s,low,l,7,4.00,3.00,2.67,2.00
s,low,r,6.5,4.00,4.38,2.83,4.00
s,high,l,6,4.00,3.75,2.67,5.00
s,high,r,7,3.67,3.50,2.56,3.33
b,low,l,7,4.00,3.63,2.50,3.50
b,low,r,7,4.00,4.75,3.33,5.00
b,high,l,6.5,3.50,3.50,2.83,3.00
b,high,r,7,4.00,4.50,3.33,4.00
s,low,l,6.67,4.33,4.50,5.00,3.67
s,low,r,6.33,4.33,4.50,4.78,4.00
s,high,l,6.33,4.00,4.00,4.56,3.33
s,high,r,6,4.00,4.00,4.50,2.50
b,low,l,6.5,5.50,5.50,5.83,6.00
b,low,r,6,4.33,4.92,5.11,5.00
b,high,l,6.33,4.33,4.42,4.56,4.33
b,high,r,6,4.50,4.88,4.83,5.50
s,low,l,5.67,4.33,4.17,3.22,3.33
s,low,r,5.33,4.33,4.08,4.00,4.00
s,high,l,4.67,4.33,4.00,3.89,3.67
s,high,r,6,5.00,4.75,4.67,5.00
b,low,l,6.5,4.50,4.75,4.67,4.50
b,low,r,4.67,4.33,4.33,4.11,4.33
b,high,l,6,5.00,5.00,4.33,5.00
b,high,r,7,5.00,4.17,4.50,4.50
s,low,l,4,5.50,4.75,5.17,6.00
s,low,r,5.67,2.67,2.50,2.67,2.33
s,high,l,5.5,4.00,3.88,4.00,4.50
s,high,r,5,6.00,5.50,6.00,6.50
b,low,r,4.5,4.00,4.25,4.17,5.00
b,high,l,5.5,5.50,5.63,6.00,6.00
b,high,r,5.5,4.50,4.50,4.67,5.00
s,low,l,6,5.00,5.00,4.78,5.00
s,low,r,4.67,5.00,4.83,4.89,4.33
s,high,l,3.67,4.00,4.41,2.67,2.67
s,high,r,5.67,4.67,4.50,4.33,4.33
b,low,l,6.67,4.67,4.33,4.22,4.33
b,low,r,6,4.67,4.17,4.22,4.00
b,high,l,7,6.33,6.00,6.11,6.33
b,high,r,5.5,5.00,5.25,5.00,5.00
s,low,l,6,4.00,3.13,2.83,3.00
s,low,r,5,4.00,3.00,2.67,2.00
s,high,l,5,4.00,3.38,2.67,2.50
b,low,r,5,4.00,4.00,3.00,5.00
b,high,l,4,4.00,3.50,2.67,2.00
b,high,r,7,4.00,4.25,2.67,4.00
s,low,l,7,5.00,4.67,2.89,4.33
s,low,r,7,5.67,5.58,3.33,5.67
s,high,l,6.33,4.67,4.67,3.00,4.33
s,high,r,6.67,6.00,5.33,3.22,5.33
b,low,l,7,5.33,5.00,3.00,5.33
b,low,r,6.67,5.67,6.33,4.00,7.00
b,high,l,7,6.00,6.00,3.56,5.67
b,high,r,7,5.50,5.25,3.00,5.00
s,low,l,7,2.67,1.33,3.67,3.00
s,low,r,7,5.00,5.25,5.17,6.00
s,high,l,7,3.00,1.50,3.67,3.00
s,high,r,6.33,2.00,1.58,3.67,3.00
b,low,l,7,5.00,5.50,5.33,6.00
b,low,r,4.33,4.67,3.50,4.22,4.00
b,high,l,4.5,2.50,1.63,3.67,1.50
b,high,r,7,3.50,2.75,4.00,2.50
s,low,l,5.67,4.33,4.67,3.67,5.00
s,low,r,4.33,4.67,5.00,4.78,5.33
s,high,l,5.33,4.33,5.08,4.11,5.00
s,high,r,5.33,4.33,5.17,4.67,6.00
b,low,l,4,5.33,5.42,4.56,5.33
b,low,r,4.33,4.67,4.92,4.33,5.00
b,high,l,5,4.33,5.17,4.11,5.67
b,high,r,4,5.50,6.25,5.00,5.00
s,low,l,5,4.67,4.75,4.78,5.00
s,low,r,5.67,5.00,5.33,5.11,6.00
s,high,l,6,5.00,4.92,4.89,5.00
s,high,r,6,5.00,5.25,5.11,5.00
b,low,l,5.67,4.67,5.17,5.00,5.33
b,low,r,5.33,5.00,4.83,4.67,5.00
b,high,l,5.67,5.00,5.25,5.11,5.67
b,high,r,6,5.00,5.00,5.00,5.50